year	cade_mean_f1	cade_ids_mean_f1	difference
2013	0.90126667	0.89918333	-0.00208333
2014	0.85563333	0.85255000	-0.00308333
2015	0.87680000	0.90497500	+0.02817500
2016	0.89123333	0.91425000	+0.02301667
2017	0.87148333	0.89867500	+0.02719167
2018	0.86140833	0.88511667	+0.02370833
